"","x"
"62","Tolong kembalikan uang saya .. Saya sudah transper ,dan bukti pun ada Di oyo tsbt, menerima pasangan. Sesampai di lokasi ,tdk di perkenankan ,membawa pasangan diluar nikah , lalu suruh di cancel , setelah di cancel ,suruh kirim email ,dan pada saat kirim email ,sya sudah nunggu berhari"" tpi sama aja...Ulasan LengkapTolong kembalikan uang saya .. Saya sudah transper ,dan bukti pun ada Di oyo tsbt, menerima pasangan. Sesampai di lokasi ,tdk di perkenankan ,membawa pasangan diluar nikah , lalu suruh di cancel , setelah di cancel ,suruh kirim email ,dan pada saat kirim email ,sya sudah nunggu berhari"" tpi sama aja tidak ada prrtanggung jawaban dri pihak oyo .. Tolong semua , JANGAN COBA"" PAKAI APLIKASI INI"
"63","Sangat flexibel dan mudah...."
"64","Nomor telpon oyo 687 Residence brp ( oyo yg dekat dengan mesjid raya Medan ? Saya mau menanyakan perihal uang deposit saya? Harao segera dibalas"
"65","Ok"
"66","Saya booking oyo lalu ekspetasi gambar tak sesuai dan digambar bagus tapi setelah dilihat malah mengecewakan"
"67","Pengalaman pertama inep di oyo,tepat nya di mangga besar Deket Husada rumah sakit Sangat buruk pelayanan nya,apa lagi resepsionis nya g sopan sok bgt kaga ada ramah2nya sama tamu"
"68","REPORT AE REPORT"
"69","Pelayanan nya oke"
"70","Aplikasi payah.. room penuh di jual aja. Pelanggan di oper penginapan lain juga jawaban sama, room penuh & belum ada konfirmasi dari pusat. Saya tunggu refund saya"
"71","Sumpaah sangat mengecewakan,, saya udh booking dan bayar tp penginapan tdk pernah ketemu , saya call via nomer di aplikasi yg angkat bilang ini bukan OYO , saya telp call center tdk bisa memberi solusi apa2 ... Mhn maaf akan saya laporkan ke pihak berwajib karena saya sudah sangat dirugikan dalam ha...Ulasan LengkapSumpaah sangat mengecewakan,, saya udh booking dan bayar tp penginapan tdk pernah ketemu , saya call via nomer di aplikasi yg angkat bilang ini bukan OYO , saya telp call center tdk bisa memberi solusi apa2 ... Mhn maaf akan saya laporkan ke pihak berwajib karena saya sudah sangat dirugikan dalam hal ini ... Silahkan bagi pihak OYO utk memberikan tanggapan , saya beri waktu 1x24 jam sebelum saya laporkan ke pihak yg terkait"
"72","Puas"
"73","Kasih bintang 4 dulu ,slama sy nginap dihotel nyaman2 ajaa, tp itu fitur atur jam kedtangannya adain lg dong kaya dulu , jd saya kalo mau chekin malem klo mash diluar susah , 🤦"
"74","Mengecewakan sudah transfer tapi di sistem keterangan nya belum bayar. Ditunggu lama malah ada pemberitahuan di cancel pihak oyo secara sepihak dengan keterangan belum melakukan pembayaran"
"75","Tempatnya nyaman,bersih,ga akan menyesal deh 😊"
"76","Setelah beberapa kali bagus, semalam sy mendapat cancel yg tanpa konfirmasi dan utk refund uang yg sdh transfer lambat bgt prosesnya dan sampai saat ini blm ada konfirmasi... kecewa bgt"
"77","Proses mudah.."
"78","Verrygood"
"79","yuk gunakan kode promo BUDIQNXWQB masukan pada saat pendaftaran masukan pada bawah nama dan dapatkan potongan penginapan voucher senilai 50k."
"80","Jgn lupa masukan kode undangan SANDGWROQ3 dapetkan voucher 200 ribu rupiah buruannnn!!!"
"81","Siipp"
"82","Udah di cancel dr tanggal 6/12/19 tp uangnya blm balik2 juga. Ckckckkck"
"83","👍👍👍"
"84","Luar biasa sangat menjangkau"
