"","text"
"122","bayar pagi hp off hubung cansel masuk akal bgtz bayar serah jadwal cekin itu jam bgtz bayar lunas kemb ulas lengkapsaya bayar pagi hp off hubung cansel masuk akal bgtz bayar serah jadwal cekin itu jam bgtz bayar lunas kembal"
"123","kloo bayar"
"124","bayar aplikasi bookingan hilang refund"
"125","baharu booking salah coba a salah"
"126","murah nyaman asik"
"127","good"
"128","woy anjing balikin duit gue anjing dasar aplikasi maling bangsat anjing tagih tim kait jelas dasar bangsat anjing aplikasi bangsat"
"129","download aplikasi bagus pesan kamar cemara gading pas transfer atm aplikasi pesan cancel uang hilang tuh makan tuyul uang gue ikhlas duit gue lu makan no ulas lengkapjangan download aplikasi bagus pesan kamar cemara gading pas transfer atm aplikasi pesan cancel uang hilang tuh makan tuyul uang gue ikhlas duit gue lu makan no booking rqxc"
"130","moga"
"131","aplikasi sistem terorganisir mana mesan salah hotel aplikasi booking transfer check hotel hotel kait full kesalahpamahan hotel tanda refund hotel sih ulas lengkapaplikasi sistem terorganisir mana mesan salah hotel aplikasi booking transfer check hotel hotel kait full kesalahpamahan hotel tanda refund hotel sungguh sungguh mengecewakaan"
"132","good enough"
"133","alah usaha tahi kalo cari duit haram ngemis nipu usaha konsisten transfer hotel salina hotel syariah siduarjo kamar batalin uang mohon baik sisten adimistrasinya"
"134","inap cowok sana minggu rasa nyaman enak smpi plng kermh kenang indah cowok yohan lupa moga bangun kualitas nyaman konsumen ulas lengkappertama inap cowok sana minggu rasa nyaman enak smpi plng kermh kenang indah cowok yohan lupa moga bangun kualitas nyaman konsumen plng cein dioyo"
"135","kecewa malu mesan kamar rekan kunjung jakarta biaya transfer kode booking sampai jakarta rekan lokasi bekal kode booking info ulas lengkapoyo kecewa malu mesan kamar rekan kunjung jakarta biaya transfer kode booking sampai jakarta rekan lokasi bekal kode booking info rekan hubung kode booking tolak bicara hotel by phone rugi"
"136","ambil uang relokasi suai harga bayar bayar tambah biaya kecewa ayan lambat sistem masa konsumen tanggung akibat benerin sistem"
"137","baru aplikasi ruwet pemberitahuan pesan nyantol bayar nyantol skripsi hotel shg mesan kecewa hotel parkir"
"138","pas nyaman"
"139","kecewa tipu suai pesan hotel tnyata khusus putri aneh ribu tedebet refund hotel nikmat iya nginep uang refund dasar tipu recommend"
"140","good"
"141","bagus pesan hotel"
"142","awas hati hati jebak batman pesan kamar harga ribu malam pas total jebak jebak jebak"
"143","hotel bersih"
"144","jos"
"145","good"
"146","mantap"
"147","harga murah"
"148","mantap"
"149","aplikasi eror mesen nov mesen tf telepon call center bilang refound kerja refound sumpah kecewa banget"
"150","bagus cepat"
"151","ok"
"152","apl bagus sekatang jelek sistem aplikasi hotel kasmaran guest hous terima pasang bayar lokasi hotel terima pasang syariah uang hangus kembal rugi uang b ulas lengkapapl bagus sekatang jelek sistem aplikasi hotel kasmaran guest hous terima pasang bayar lokasi hotel terima pasang syariah uang hangus kembal rugi uang tanggung"
"153","ok"
"154","mesen ya salah mulu"
"155","good"
"156","great apps"
"157","sistem booking kacau booking biar acara kamar transfer tinggal check hotel telpon check kamar penuh pindah kali acara"
"158","nyaman"
"159","nicee"
"160","journey the place"
"161","ok"
"162","kecewa banget ayan gawai hotel sadana inn bal cekin direspon gawai tunggu jam an lobby gaenak jadi malam bentak bentak muka gawai ulas lengkapkecewa banget ayan gawai hotel sadana inn bal cekin direspon gawai tunggu jam an lobby gaenak jadi malam bentak bentak muka gawai hotel orang tua ayan gawai kayak rem wilayah tamu"
"163","hhotel tutup pasang byar tfer gilir datengin tmptnya tutup sesal"
"164","refund dana sulit saran mending book bayar dtmpat via transfer"
"165","ntaps"
"166","bagus bantu"
"167","aplikasi u ux buruk pikir harga murah transfer konfirmasi bayar harga buruk aplikasi"
"168","bersih rapi nyaman"
"169","kecewa pesan kamar angel home stay laku bayar via mbanking kamar pesan cancel konfirmasi jawab lambat bayar pesan jam langsung lak ulas lengkapsaya kecewa pesan kamar angel home stay laku bayar via mbanking kamar pesan cancel konfirmasi jawab lambat bayar pesan jam langsung laku bayar jam jelas uang transfer profesional pakai aplikasi"
"170","recommend strategis bersih"
"171","login aplikasi ya mengunakan email coba kali kali"
"172","refund uang abalabal aplikasi parah"
"173","bintang"
"174","kamar layak kali mesan pakai kecewa"
"175","check hotel batal pesan kamar sedia telepon call center refund direfund check kecewa call center hotel solusi apa kecewa ulas lengkapketika check hotel batal pesan kamar sedia telepon call center refund direfund check kecewa call center hotel solusi apa kecewa recommended"
"176","mesan hotel aplikasi"
"177","amazing"
"178","good job"
"179","aplikasi kamar refund proses dokumen refund aneh sar beraluh aplikasi"
"180","alam buruk dapat aplikasi bayar pesan lokasi inap orang tipu kelola inap peniphan kelola inap bilang kamar penuh bilang kamar hati refund layan ulas lengkappengalaman buruk dapat aplikasi bayar pesan lokasi inap orang tipu kelola inap peniphan kelola inap bilang kamar penuh bilang kamar hati refund layan aplikasi nama inap tipu oemah waris jogja tipu tamu bayar"
"181",""
"182","pesan kali cancel ajuk cancel accept uang transfer telepon srh refund kirim via email nyatanyaa uang gua kagak kembal parah tunggu minggu kembal uang kembal uang ulas lengkapkarena pesan kali cancel ajuk cancel accept uang transfer telepon srh refund kirim via email nyatanyaa uang gua kagak kembal parah tunggu minggu kembal uang kembal uang hotel super jorok kamar mandi jorok kamar buruk pakai app foto suai banget"
"183","puas"
"184","hebat"
"185","ok"
"186","lerjasam buruk hotel merefund dana transfer ya"
"187","suka banget"
"188","baik app mesan hotel"
"189","mudah"
"190","jelek"
"191","kamar penuh jual bayar gilir hotel cek tlf customer care tanggung cancel uang hilang mending pakai apk aman tipu"
"192","mantap"
"193","repot repot cari homestay"
"194","mantap"
"195","alamat email refund salah uang"
"196","star aplikasi harga sedia fasilitas suai foto aplikasi moga bahan timbang banding aplikas ulas lengkap star aplikasi harga sedia fasilitas suai foto aplikasi moga bahan timbang banding aplikasi"
"197","mantab kali bah"
"198","bagus mantap kali"
"199","ok"
"200","atur terap hotel seprei kotor kena noda kena cash"
"201","booking pesan salah"
"202","inap oke harga miring high season mantab"
"203","ayan bagus tingkat pelayananya fasilitas"
"204","tau kontak aktif selaim nomer telpon romms uang email pusat mana ya"
"205","good"
"206","manajemen buruk hotel penuh bilang kamar"
"207","ok"
"208","tolong sua gambar asli kecewa check batal kamar jelek suai gambar inap jardin by olive"
"209","bagus bantu"
"210","aplikasi gue booking bayar kamar batal gara telfon booking bayar gue pakai hotel ribet niat cfm hubung cust bayar sms"
"211","buruk hasil booking hotel daftar tau penuh dana direfund minggu dana direfund that sok bad"
"212",""
"213","banyak promo"
"214","kamar suai deskripsi aplikasi"
"215","aps bantu mudah operasi suka"
"216","mudah murah"
"217","bantu"
"218","eror ya booking"
"219","ok"
"220","good"
"221","parah gue reservasi bayar atm saldo muncul bayar kali atm mohon evaluasi baik"
"222","aplikasi bapuk eror mulu booking iklan mulu payah maju call centernya bingung komplain mana huh"
"223","cikarang pesona tolong baik ac mati kran bocor kotor fasilitas bagus gua orang suka kapok"
"224","beberpa htl bersih kamar kmr mandi hati"
"225","mudah"
"226","bagus"
"227","otp masuk coba kali kali"
"228","coba"
"229","recommended"
"230","mantap"
"231","hebat"
"232","mantap"
"233","nginep pakai aplikasi bagus murah pas pesan pakai aplikasi zonk banget"
"234","terimakasih dukung hizbur tahir indonesia bal princess keisha"
"235",""
"236","ekonomis"
"237",""
"238","point transaksi ya"
"239","hebat"
"240","akun ngeboking booking hotel pakai parah booking hotel india sih"
"241","mesan gampang banget"
"242","bantu"
"243","ok"
"244","halo permata hati bogor hapus payment refund lelet banget costumer serviceny kembal uang"
"245","uninstall aplikasi log out mulu pakai maaf ya suruh developer benerin"
"246","oyonya bagus kamar wirelles jaring wifinya masa channel tv wifinya fungsi tugas bantu ac rasa kaya freon acnya ganti panas panas pas tidur"
"247","good"
"248","bayar pakai dana min linkaja"
"249","super"
"250","hotel nyaman indonesia"
"251","cepat"
"252","anjing hotel india babi booking aplikasi bayar nympe hotel penuh pas gue batalin refund gue bangsatt"
"253","aplikasi jalan mennyenangkan baik era milenial era rejim pinokio mana negara roket hutang hutang negara negara tetangga pokok roket"
"254","recomended"
"255","mudah murah terima kasih"
"256","mantap"
"257","best"
"258","aplikasi terus pesan kamar"
"259","bagus"
"260","download masuk aplikasi mulu anehh"
"261","good"
"262","coba kangen nan istri moga hotel alas kayak hotel bilang kamar std habis deluxe"
"263","top"
"264","bagus"
"265","ok"
"266","banyak promo diskon"
"267","diskonny"
"268","wow"
"269","bagus mudah murah"
"270","godd"
"271","pesan hotel via gambar suai nyata homestay ribet banget syarat cantum aplikasi hotel sar batal dana refund nyata perefund ulas lengkapsaya pesan hotel via gambar suai nyata homestay ribet banget syarat cantum aplikasi hotel sar batal dana refund nyata perefund an dana minggu buruk sesal rugi pakai mending download pakai aplikasi sebelah real suai nyata"
"272","sahabat"
"273","aplikasi anjing refund vmep ganti"
"274","mudah moga depan maju"
"275","tau order peak season mohon erti booking capek banget bos gambar wow banget harga keren hotel bintang pas masuk air panas gambar beda banget lantai keramik kayak hotel ulas lengkapsaya tau order peak season mohon erti booking capek banget bos gambar wow banget harga keren hotel bintang pas masuk air panas gambar beda banget lantai keramik kayak hotel an rate mah hotel an ribu pakai apps duli promo apa back trav"
"276","transfer banking konfirmasi"
"277","cepat"
"278","sip"
"279","jelak kemarin boking saldo atm potong bokingan nama sungguh kecewe saran boking treveloka enak"
"280","anjing wkwkwk hotel gila wkwkwk ayan anjing tb tb cancel bayar refund babi jaga kamar tau makan uang haram anjing"
"281","mntap"
"282","lemot"
"283","mantap"
"284","good"
"285","muas"
"286","oo"
"287","aplikasi guna tipu transfer uang booking hotel pesan langsung batal uang hilang jejak"
"288","good"
"289","terdwonload"
"290","login otp masuk"
"291","baik"
"292","nyaman"
"293","mantap suai butuh"
"294","oke"
"295","sih suruh konfirmasi menit menit telfon konfirmasi dibatalin sih profesional lanjur transfer uang kembal profesional uninstal kecewa goblok sih moga bangkrut ya amin"
"296","tipu pesan bayr via trasfer gilir bialng penuh"
"297","bersih rapi"
"298","pondok wisata istana hotel x jalan amalium yahuyy"
"299","nginep libur ya kalo meni"
"300","refund dana pesan mesan batal tmj guest house mesan no ncoj kembal hubung via email respon sih main curang kembal hak customer wor ulas lengkaprefund dana pesan mesan batal tmj guest house mesan no ncoj kembal hubung via email respon sih main curang kembal hak customer worth"
"301","update close force"
"302","duh parah aplikasi bayar va baca status pending timeout auto cancel hubung hotel hubung angkat payah mengambik uang orang bukti bayar bu ulas lengkapduh parah aplikasi bayar va baca status pending timeout auto cancel hubung hotel hubung angkat payah mengambik uang orang bukti bayar bukti transaksi baca sila tunggu klarifikasi"
"303","aplikasi buruk pakai order kamar hotel pas h cancel konfirmasi bayar dicancel tanggung"
"304","pesan tetlampau mahal"
"305","pesan gilir h main cancel konfirmasi hubung cc kecewa kalo konfirmasi riwayat email hp"
"306","good"
"307","banyak diskon kode pakai kayak download"
"308","wow"
"309","good"
"310","nyaman"
"311","alamat email ya refund susah"
"312","download guys suka tipu diskon persen diskon persen persen kode kupon maka hotel harga kamar pencet"
"313","ok"
"314","maaf pakai instal buka point nilai ya tolong"
"315","costumer telantar bokingbdan bayar via transfer hotel full boking transfer telepon suruh tunggu ganti hotel pagibpun kabar suruh tunggu ulas lengkapcostumer telantar bokingbdan bayar via transfer hotel full boking transfer telepon suruh tunggu ganti hotel pagibpun kabar suruh tunggu jelas uang respon nominal sbrpa kecewa bayar mesan hotel korban"
"316","aplikasi tanggung booking hotel pas cek batal solusi refund kembal uang"
"317","erti mending pakai recomend banget apk nginep enak dgan harga promo wow promo kak"
