"","x"
"170","Pelayanannya buruk kamarnya buruk gaada tv nya air nya mati tidak ada spreinya pintu nya kekunci sendiri hotelnya horor"
"171","Reddoorz mberikan pengalaman yg berbeda dlm memesan & tinggal di hotel. Kasur empuk, slimut linen & ruangan kamar yg luas adl salah 1 cirinya. Harga sgt tjangkau & murah namun tdk murahan. Ptahankan trs reddoorz"
"172","👍"
"173","Memang yg terbaik"
"174","Hotel rasa kandang ayam, dinding triplex, suara tetangga kedengeran, ga bisa tdr, kamar mandi bau, tempat tdr ga rata, elu pasang harga mahal, ga malu sm traveloka mereka mementingkan kenyamanan, dan harga murah, ga mata duitan ky elu gini"
"175","Tolong dibantu, cincin saya ketinggalan dikamar mandi. Jelas ketinggalan dikamar mandi! Sekali saya balik minta cincinnya semua karyawan tidak ada yang ngaku malah bilang saya yang mengaku² bahwasannya cincin itu hilang! Harga cincin itu tidak murah! Jadi jangan mainmain kan saya ! Mau gimana pun ba...Ulasan LengkapTolong dibantu, cincin saya ketinggalan dikamar mandi. Jelas ketinggalan dikamar mandi! Sekali saya balik minta cincinnya semua karyawan tidak ada yang ngaku malah bilang saya yang mengaku² bahwasannya cincin itu hilang! Harga cincin itu tidak murah! Jadi jangan mainmain kan saya ! Mau gimana pun bakal saya tuntut! Karna tidak ada penanggung jawaban !  Reddorz cab medan Reddorz Rsu Pringadi Medan 2"
"176","Nice"
"177","Mantap"
"178","Ramah"
"179","Lumayan oke, tp search hotel di tempat minim sinyal selalu kalah dengan traveloka. Mungkin app terlalu berat"
"180","mantaaap"
"181","Good"
"182","mantap"
"183","Simple"
"184","Cs terburuk yg pernah ada. Live chat 1 jam tdk dibalas, dgn 4 x chat. Email tdk dibalas, telpon dlm antrian 30 menit. Habis pulsa, sia2. Akhirnya 45 menit kemudia ditelpon. Dan dimatikan tiba2 oleh cs nya."
"185","Cepat dan mudah dalam proses pemesanan dan pembayaran."
"186","Ok"
"187","Mantap"
"188","Bagus"
"189","Sangat memuaskan"
"190","Memuaskan"
"191","Cs Reddoorz sangat tidak sopan. Sangat tidak layak untuk menjadi cs. Saya mendapat complimentary free stay dari bulan November lalu ketika dihubungi katanya gabisa karena november full room jadi harus ditunda sampai januari. Ada 2 cs, disana 1 cs sudah memblokir saya. Kemudian sampai bulan januari s...Ulasan LengkapCs Reddoorz sangat tidak sopan. Sangat tidak layak untuk menjadi cs. Saya mendapat complimentary free stay dari bulan November lalu ketika dihubungi katanya gabisa karena november full room jadi harus ditunda sampai januari. Ada 2 cs, disana 1 cs sudah memblokir saya. Kemudian sampai bulan januari saya tagih lagi eh diblokir lagi, jadi sekarang 2 cs tersebut sudah memblokir saya. Apakah dengan memblokir customer adalah cara yg terbaik? Kenapa lari dari masalah reddoorz? Bangsat."
"192","Saya booking kamar daerah jogja, sudah transfer sudah semuanya, sampai disana nama saya tidak tercatat sebagai tamu, alhasil kita tidak dapat kamar, padahal sudah transfer dan ada buktinya, saya komplain tapi tetap tidak ada kompensasi ditempat. Customer service nya lelet dan tidak cepat tanggap"
"193","Hotel nyaman bersih kasurnya juga nyaman hanya resepsionis check in dihotel yang agak lama"
"194","Sangat burukkk, bener² kecewa. Padahal ane udah pesan 1 kamar 2 orang pas cek in ternyata 1 kamar 1 orang!!!!!"
"195","Oke"
"196","Mantap"
"197","Mantap..tolong lbh detail lg utk tipe kamar dan ukuran kasurnya"
"198","Mantap meskipun di pelosok tetap terjaga kualitas dan kebersihannya"
"199","Suka bngt ama reddorz yg di univ 2 petra srbya. Ada kopi n teh free. Plus kulkas brsma. Nyaman bngtttt."
"200","good"
"201","Muantep"
"202","Senang ada pilihan pay @hotel lgi 👍👍👍👍"
"203","Lmyn lh walau pun agak binggung"
"204","Juaraa pelayanan nya"
"205","Good"
"206","Mantap"
"207","Puas"
"208","Khusus koolkost syariah near MRT lebak bulus,,, pelayanannya sangat mengecewakann ,, bkin kapok pelanggan. Pecat aja karyawannya itu. Penipuan"
"209","Kamarnya cukup bersih"
"210","Thank"
"211","Puas...dengan pelayanan dan harga Cuma toiletnya aja harus d perbaiki supaya tidak banjir karna posisi pembuangan air nya yg tdk rata"
"212","ok"
"213","Setiap bulan liburan stayvacation di reddoors. Mantul"
"214","Mantap"
"215","GAK REKOMENDED !!!"
"216","Harga Terjangkau, Kualitas Mutu Terjamin...."
"217","God"
"218","Pegawainya Baik dan ramah,menjaga privasi,bersih,nyaman"
"219","ok"
"220","Ok"
"221","sangat sangat sangat bermanfaat.👍👍🤩🤩"
"222","Kecewa sm aplikasi ini, sya udh boking udah bayar pas mau cekin kamar penuh udh abis , ada bisa refund pas d cek uang Rp.0 yg keterima , apa apaain ini sya mau istrht gk bsa byar udh , suruh tlfn layanan gk ada jawaban live chat smpe pagi pun gk ada d bales, woy susah cari uang , pihak hotel pun gk ...Ulasan LengkapKecewa sm aplikasi ini, sya udh boking udah bayar pas mau cekin kamar penuh udh abis , ada bisa refund pas d cek uang Rp.0 yg keterima , apa apaain ini sya mau istrht gk bsa byar udh , suruh tlfn layanan gk ada jawaban live chat smpe pagi pun gk ada d bales, woy susah cari uang , pihak hotel pun gk bsa bantu sedikitpun walaupun kita sudah bayar"
"223","Oke"
"224","sangat membantuu"
"225","Bagus lah, bisa nemu tempat nginep budget dimana2. Cuma, ini aplikasi ga ada opsi utk pilih fasilitas yg dimau misal pengen yg ada kolam renang nya, deket atm dll. Perbaiki dong... Spy cari2nya pbh mudah"
"226","Sipp mantul"
"227","Mantul"
"228","Bagus ,memuaskan love deh"
"229","Langganan Sampe Nanti Kita halal"
"230","😎"
"231","Sangat membantu untuk booking hotel dengan harga terjangkau"
"232","Sejauh ini bagus, walau sempat ada kendala tetapi sudah di bantu. Terimakasih."
"233","coba dulu semoga bisa membantu"
"234","Ok"
"235","Ok"
"236","Good"
"237","Baik"
"238","Mantaaaap"
"239","Pelayanan baik, fasilitas baik, dan harga yang terbaik"
"240","Ok"
"241","Pengembalian refund ngga pernah diproses"
"242","Puas"
"243","Pengalaman yg the best. Harga murah fasilitas mewah. Mulai dri tv LED. Kamar mandi yg bersih. 🚿cold and hot. 🚽 bersih. Cermin lebar ada kursi makeup dan cermin makeup. Lemari bersih. Handuk bersih. Sabun cair ma shampo udh lengket di dinding kamar mandi. Air minum tersedia beserta gelas yg bersih....Ulasan LengkapPengalaman yg the best. Harga murah fasilitas mewah. Mulai dri tv LED. Kamar mandi yg bersih. 🚿cold and hot. 🚽 bersih. Cermin lebar ada kursi makeup dan cermin makeup. Lemari bersih. Handuk bersih. Sabun cair ma shampo udh lengket di dinding kamar mandi. Air minum tersedia beserta gelas yg bersih. Pokoknya romended buat budget tipis😅"
"244","Metode pembayaran bank transfer seharusnya ditambah bank BNI"
"245","Cukup puas"
"246","Lebih mudah,tapi promo ny kurang"
"247","Manthull"
"248","promo lebih di banyakin"
"249","Aasiiiiplah"
"250","Luarrrrr biasa nih aplikasi 👍👍👍"
"251","Pelayanan live chatnya g baik.. Responnya lamaaaaaaaaa sekali"
"252","Mantapppp"
"253","mantappp"
"254","Puas sekali saya"
"255","Parah... Sangat jls tertulis bisa refund.. Pas mau refund malah tdk bisa, dan banyak alasan... HATI-HATI APLIKASI INI"
"256","Good"
"257","walaupun agak lambat, tp terbantu lah😉"
"258","Sangat memuaskan pelayanan nya"
"259","good"
"260","Sya pesan kmr ga ada keterangan buat 1 orang doang. Pas sya mau check in sma istri kata nya cuman buat 1 orang. Mau direffund potongn nya sampai 100% Bikin males pake aplikasi ini."
"261","Gak ribeet"
"262","Ok"
"263","Boking melalui aplikasi meminimalisir waktu dan lebih efektif... terimakasih reddoorz"
"264","Lumayan bagus"
"265","Mantap"
"266","Mantabb"
"267","Boking Cepat,respont bgus untuk CSnya. Guest House/hotel Bgus.Keren bgget.sukses trus Reddoorz👍"
"268","Sangat bagus, memuaskan"
"269","mantab"
"270","Hotel macam apa ini, saya nyampe jogja jam 3 dini hari, masa disutuh cek in jam 12, payah"
"271","Aplikasinya bagus ko. Cuman harga knpa agak mahal disini dibandingkan apk lain,padahal samasama reddoorz. Trs harga nya jugaa sering berubah"" padahal dihari yang sama.Redcash nya juga gabisa dipake banyak cuman max30rban aja. Untung masih kebantu sama diskon lainnya.. Dan sayangnya redcash gabisa di...Ulasan LengkapAplikasinya bagus ko. Cuman harga knpa agak mahal disini dibandingkan apk lain,padahal samasama reddoorz. Trs harga nya jugaa sering berubah"" padahal dihari yang sama.Redcash nya juga gabisa dipake banyak cuman max30rban aja. Untung masih kebantu sama diskon lainnya.. Dan sayangnya redcash gabisa digabung sama diskon lainnya Tolong ditingkatkan lg ya min 🙏🏻👌🏻"
"272","Mantap dan mudah"
"273","Mantulll...proses cepat"
"274","Jangan percaya aplikasi ini dan JGN instal aplikasi ini. Pilih yg lebih profesional. pengelola Reddors bener2 tidak profesional hanya mementingan kepentingan sendiri. Sbg makelar harusnya mau menjembatani dg pihak pengelola penginapan & diminta info refund sampe saya menulis di coment ini tidak dita...Ulasan LengkapJangan percaya aplikasi ini dan JGN instal aplikasi ini. Pilih yg lebih profesional. pengelola Reddors bener2 tidak profesional hanya mementingan kepentingan sendiri. Sbg makelar harusnya mau menjembatani dg pihak pengelola penginapan & diminta info refund sampe saya menulis di coment ini tidak ditangepi bagaimana cara refund. Kl memang mau ngembat duit pembayaran nggak usah pake di tulisi bisa refund. Pdhl kejadiaan saya, pihak hotel yg menyarankan batal. TERPAKSA RELAKAN DUIT DIEMBAT RedDoor"
"275","Sangat membantu"
"276","Memuaskan"
"277","Banyak juga yg komplen gara2 pake RedDoorz ternyata🙁 dulu pernah boking hotel udah bayar pas ke hotel tiba2 ga ada orang sepi kaya kuburan ntah ada penghuninya ntah mgga semua pintu di kunci, Ntah penipuan ntah ngga duit udah melayang tanpa di kembalikan 😪 makan uang haram ga baik lohhh SANGAT MER...Ulasan LengkapBanyak juga yg komplen gara2 pake RedDoorz ternyata🙁 dulu pernah boking hotel udah bayar pas ke hotel tiba2 ga ada orang sepi kaya kuburan ntah ada penghuninya ntah mgga semua pintu di kunci, Ntah penipuan ntah ngga duit udah melayang tanpa di kembalikan 😪 makan uang haram ga baik lohhh SANGAT MERUGIKAN"
"278","Baik"
"279","Ok bermanfaat ketika butuh penginapan yang terjangkau"
"280","coba liat dulu"
"281","Pertama coba booking gampang"
