"","x"
"63","Aplikasi bagus pilihan hotel banyak..dan berkualitas... Bisa pesan dan bayar di properti.. Asik pokoke"
"64","Cepat dg informasi yang perlu dicermati dengan seksama."
"65","user frinedly"
"66","tnx for service:)"
"67","Goog"
"68","😍"
"69","Memuaskan"
"70","Mantap nih aplikasi"
"71","Price yg ditawarkan agoda more less dibanding aplikasi lain"
"72","Puas bgt! Bnyak promo buat pengguna BNI DEBIT CARD"
"73","Murah bgt pesen hotel di sini"
"74","Good"
"75","mantap"
"76","Baik"
"77","Aplikasi yg sangat bagus sekali, CS nya baik dan selalu kasih solusi yg baik, cuman diskon nya kurang gede semoga ditambah promo nya lagi."
"78","Good"
"79","Mantab"
"80","Saya ada pesan hotel lewat agoda... Namun di batalkn oleh pihak agoda... Dapat tlp dari pihak agoda mau di kembalikan... Namun sampai skrg tidak ada email masuk atas pengenbalian uang tersebut... Harap pihah agoda memperbaiki nya..."
"81","Ok"
"82","Ya allah perusahaan penipuan ini, saya pesan hotel dan setelah hotel dibayar lewat indomaret ko malah pesanan dibatalkan"
"83","mudah dan cepat"
"84","Seneng pake agoda..harga yg ditawarkan selalu lbh baik..tingkatkan lagi jumlah hotel nya yah"
"85","Baru kali kedua pakai Agoda dipikirnya bagus ternyata jelek.pesan hotel superior dikasih standart akhirnya upgrade.bad service hati hati kalo pesan melalui Agoda cek bener bener ga sesuai kamar dikerjain tar.balik lagi ke aplikasi sebelah aja lebih jos realita👍"
"86","Mantulll"
"87","Very Good"
"88","Taiii. Duit udh masuk malah dibatalin. Alesan kesalahan teknis"
"89","Good"
"90","Murah dan cepat"
"91","Sudah bayar malah pembatalan secara otomatis"
"92","Good"
"93","Murah byk diskon, sekali2 dikasih gratisan dong nginep hotelnya"
"94","Mohon bantuannya, saya melakukan pemesanan tiket lewat agoda dan sudah membayar di alfamart, setelah selesai melakukan pembayaran dan uang sudah di transfer, pemesanan saya dibatalkan secara sepihak oleh agoda. Klain uang kembali sangat susah dan ribet"
"95","Cepat. Murah."
"96","Good"
"97","OK"
"98","Mantapp"
"99","Pengalaman bokingan hotel ke dua saya mengecewakan, saya sdh dapat email konfirmasi pemesanan hotel saya, kenapa harus ada email konfirmasi kedua?. Untung msh buka email sebelum c/in hari H, kalau saya tidak buka email dan langsung c/i, betapa malu dan marah saya ternyata pesanan saya di batalkan ot...Ulasan LengkapPengalaman bokingan hotel ke dua saya mengecewakan, saya sdh dapat email konfirmasi pemesanan hotel saya, kenapa harus ada email konfirmasi kedua?. Untung msh buka email sebelum c/in hari H, kalau saya tidak buka email dan langsung c/i, betapa malu dan marah saya ternyata pesanan saya di batalkan otomatis. Bokingan hotel pertama saya ndak ada lho email konfirmasi kedua."
"100","Parah banget persenannya kgaa kedaftar di hotelnya duit pun kaga bisa kembali jangan pernah dah mesen2 dri mari"
"101","Ok,... agoda praktis"
"102","Yg lain ga ada, agoda bisa dapet kamar, walau dgn harga lebih mahal"
"103","Mantap"
"104","Ko sy tidak bisa masuk akun agoda sy ya"
"105","Hai Agoda...akun apaan ini, mau terima duwit doang tp gak ad tanggung jawabnya, kembalikan uangku 1.8jt itu banyak tau, bisa buat boking hotel lain yg lebih baik dg aplikasi lain yg lebih bertanggung jawab, masih OK Traveloka kemana2 cui Csnya yg baik dan konfirmasi dg baik pula, Gak kayak agoda nih...Ulasan LengkapHai Agoda...akun apaan ini, mau terima duwit doang tp gak ad tanggung jawabnya, kembalikan uangku 1.8jt itu banyak tau, bisa buat boking hotel lain yg lebih baik dg aplikasi lain yg lebih bertanggung jawab, masih OK Traveloka kemana2 cui Csnya yg baik dan konfirmasi dg baik pula, Gak kayak agoda nih, ninggalin nomor telfon di web di aplikasi tp nomor tdk terdaftar, di Email di telfon gak ad responya👎👎🖕🖕"
"106","Mantul"
"107","Pelayanan yang sangat,sangat,sangat memuaskan. Terima kasih Agoda"
"108","Mantap benar"
"109","Cepat"
"110","Aplikasi penipu!!! Padahal saya udh bayar tapi tiba tiba pemesanan di batalin. App ga bagus, semoga yg punya app nya kena dampak nya sendiri. Makan tuh uang haram..."
"111","Lumayan memudahkan rencana traveling"
"112","Luar biasa"
"113","Ini aplikasi ngejebak apa gimana? Pesan hotel dibatam sudah ok dan dibayar ternyata sampai hotelnya malah dibatalkan sama Agoda pemesanan saya, trus uang yg sudah saya bayar lewat Alfamart gmna coba? Tolong kembalikan dunk Agoda uang saya Rp. 614.200 lumayanuang segitu, gara2 dibatalkan SM Agoda sya...Ulasan LengkapIni aplikasi ngejebak apa gimana? Pesan hotel dibatam sudah ok dan dibayar ternyata sampai hotelnya malah dibatalkan sama Agoda pemesanan saya, trus uang yg sudah saya bayar lewat Alfamart gmna coba? Tolong kembalikan dunk Agoda uang saya Rp. 614.200 lumayanuang segitu, gara2 dibatalkan SM Agoda sya jd harus keluar duit lagi 740rb utk booking hotel lg, kecewa skli saya dibuat..saya minta uang saya tolong kembalikan secepatnya"
"114","Harga sangat bersaing"
"115","Membantu sekali tuk dapat penginapan berkualitas dengan harga yang menarik👍"
"116","Aplikasi jahat."
"117","sip dah"
"118","Mudah, murah dan praktis."
"119","Aplikasi cacat"
"120","Mantap"
"121","Good"
"122","Mantap"
"123","Ini sangatlah tidak baik.. dari pihak agoda saya sudah boking hotel di jogja sya juga sudah melakukan pembayaran diindomaret setelah saya transaksi bayar dikasir dari pihak agoda mengirim ke email saya dan membatalkan hotel yg sudah sya boking dan sudah sya bayar. dan sya juga ke hotel tersebut dan ...Ulasan LengkapIni sangatlah tidak baik.. dari pihak agoda saya sudah boking hotel di jogja sya juga sudah melakukan pembayaran diindomaret setelah saya transaksi bayar dikasir dari pihak agoda mengirim ke email saya dan membatalkan hotel yg sudah sya boking dan sudah sya bayar. dan sya juga ke hotel tersebut dan dari pihak resepsionisnya mengatakan kalau tidak ada konfirmasi dari pihak agoda. Dan mereka juga sudah mencoba mengubungi tapi tidak bisa.. tolong uang saya dikembalikan."
"124","Nginap dRedDoorz dkt Pasar Turi yaa kualitas ssuai hrga murah lahh.. kmar ruko standart, tp sprei ma sarung bantal agk kotor."
"125","Recomended dan cepat"
"126","Jika pesan lebih dr 2 kamar diskon nya lebihan dunk. Makasi. Selebihnya cukup bagus pelayanan agoda. Tingkatkan terus."
"127","Bagusss"
"128","Jangan mau pake agoda lagi. Kapok banget saya. Duit saya melayang gitu saja. Saya booking hotel. Sudah saya bayar lunas. Malah di cancel sama pihak agoda nya. Tetapi uang saya tidak balik sama sekali. Customer service susah dihubungi. Lewat email slow respon. Kampretttt kau!!!!!!"
"129","Uang saya tidak kembali. Aplikasi penipu"
"130","Promonya mantap.harus di tingkatkan promonya"
"131","Nggak bisa di download.....👎👎👎"
"132","aplikasi pemesanan cepat dan harga murah"
